Line list produced by pgo v8.0.305 32 bit (Delphi 18.5/18)	8000305
Molecule	Upper Manifold	J'	Sym'	#'	Lower Manifold	J"	Sym"	#"	Position	Intensity	Eupper	Elower	Spol	A	Width	Branch	Label
Mola	Ground	5	A	2	Ground	4	A	2	18460.6573235259	0.000271477205645672	58536.2617864031	40075.6044628772	1.59857173265002	3.19258369150968E-8	0	qR1,4(4)	Mola v=0  5  1  5 - v=0  4  1  4
Mola	Ground	5	A	6	Ground	4	A	2	44879.0587811672	3.45097024793126E-7	84954.6632440444	40075.6044628772	0.000924899922200317	2.65396164912222E-10	0	sR1,4(4)	Mola v=0  5  3  3 - v=0  4  1  4
Mola	Ground	5	A	3	Ground	4	A	3	19454.5410514277	0.000280391792343669	61528.0998387272	42073.5587872995	1.59813479065909	3.73546829870735E-8	0	qR1,3(4)	Mola v=0  5  1  4 - v=0  4  1  3
Mola	Ground	5	A	7	Ground	4	A	3	42889.2662377876	4.50429340399967E-7	84962.8250250871	42073.5587872995	0.00127397683703415	3.19062717697464E-10	0	sR1,3(4)	Mola v=0  5  3  2 - v=0  4  1  3
Mola	Ground	5	A	4	Ground	4	A	4	18978.5157238688	0.000224506076551183	69370.990364488	50392.4746406192	1.39935413610749	3.03656825318184E-8	0	qR2,3(4)	Mola v=0  5  2  4 - v=0  4  2  3
Mola	Ground	5	A	8	Ground	4	A	4	56236.5349948928	1.99761105834399E-7	106629.009635512	50392.4746406192	0.000484093657398046	2.7330887436213E-10	0	sR2,3(4)	Mola v=0  5  4  2 - v=0  4  2  3
Mola	Ground	5	A	1	Ground	4	A	5	6133.48998705194	1.45604610117999E-7	56669.5215892818	50536.0316022298	0.00267294933692737	1.95786340298303E-12	0	oR2,2(4)	Mola v=0  5  0  5 - v=0  4  2  2
Mola	Ground	5	A	5	Ground	4	A	5	19165.3711306415	0.000226347038898455	69701.4027328714	50536.0316022298	1.39969803851967	3.1279134986631E-8	0	qR2,2(4)	Mola v=0  5  2  3 - v=0  4  2  2
Mola	Ground	5	A	9	Ground	4	A	5	56093.0440756171	2.00324709496793E-7	106629.075677847	50536.0316022298	0.000487001818965966	2.72851465014746E-10	0	sR2,2(4)	Mola v=0  5  4  1 - v=0  4  2  2
Mola	Ground	5	A	6	Ground	4	A	6	19030.2677069216	0.000151543458720054	84954.6632440444	65924.3955371228	1.06683339617454	2.33399528838592E-8	0	qR3,2(4)	Mola v=0  5  3  3 - v=0  4  3  2
