%restart: now include fake lines (many but weak, kind of like satellites), and lowered height ratios to 12 or so.

4 rng CORRECT: cinn [4717.4 504.8 476.3] in 288.2 seconds [10000  20000] range 18399 flat,  160 upvotes on trial [5:JKABC=301]
4 rng CORRECT: cinn [4717.4 504.8 476.3] in 292.1 seconds [10000  20000] range 18399 flat,  160 upvotes on trial [5:JKABC=301]
166 rng CORRECT: cinn [2815.9 519.0 444.9] k=-0.937, in 454.9 seconds [10000  20000] range 23915 flat,  167 upvotes on trial [5:JKABC=301]
167 rng CORRECT: cinn [2745.2 567.4 507.6] k=-0.947, in 350.5 seconds [10000  20000] range 18915 flat,  160 upvotes on trial [5:JKABC=301]
168 rng CORRECT: cinn [4826.3 502.6 492.5] k=-0.995, in 530.1 seconds [10000  20000] range 15052 flat,  138 upvotes on trial [5:JKABC=301]
169 rng CORRECT: cinn [2599.9 533.6 496.7] k=-0.965, in 429.8 seconds [10000  20000] range 18785 flat,  223 upvotes on trial [5:JKABC=301]
170 rng CORRECT: cinn [2100.3 310.4 291.2] k=-0.979, in 698.1 seconds [10000  20000] range 20539 flat,  189 upvotes on trial [13:JKABC=311]
171 rng CORRECT: cinn [4437.2 439.3 404.7] k=-0.983, in 282.9 seconds [10000  20000] range 17447 flat,  168 upvotes on trial [5:JKABC=301]
172 rng CORRECT: cinn [3277.1 471.7 432.0] k=-0.972, in 387.4 seconds [10000  20000] range 21205 flat,  192 upvotes on trial [5:JKABC=301]
173 rng CORRECT: cinn [2194.2 274.0 273.1] k=-0.999, in 1032.2 seconds [10000  20000] range 6998 flat,  80 upvotes on trial [7:JKABC=401]
174 rng CORRECT: cinn [4160.7 511.1 484.3] k=-0.985, in 173.2 seconds [10000  20000] range 11076 flat,  178 upvotes on trial [5:JKABC=301]
175 rng CORRECT: cinn [3984.6 340.5 321.3] k=-0.990, in 337.6 seconds [10000  20000] range 18996 flat,  159 upvotes on trial [5:JKABC=301]
177 rng CORRECT: cinn [3217.9 429.1 390.3] k=-0.973, in 312.6 seconds [10000  20000] range 17650 flat,  214 upvotes on trial [5:JKABC=301]
178 rng CORRECT: cinn [4081.9 536.2 504.7] k=-0.982, in 269.6 seconds [10000  20000] range 16348 flat,  180 upvotes on trial [5:JKABC=301]
179 rng CORRECT: cinn [4111.6 462.8 422.7] k=-0.978, in 225.7 seconds [10000  20000] range 14344 flat,  188 upvotes on trial [5:JKABC=301]
180 rng FALSE POSITIVE: cinn [3587.7 409.4 409.3] k=-1.000, in 419.1 seconds [10000  20000] range 3427 flat,  62 upvotes on trial [13:JKABC=311], found[1195.8997      409.43651      409.29702]181 rng CORRECT: cinn [2005.9 490.4 462.4] k=-0.964, in 457.6 seconds [10000  20000] range 23519 flat,  209 upvotes on trial [5:JKABC=301]
183 rng CORRECT: cinn [4350.6 541.8 483.2] k=-0.970, in 220.3 seconds [10000  20000] range 13627 flat,  180 upvotes on trial [5:JKABC=301]
184 rng CORRECT: cinn [2594.4 502.3 454.0] k=-0.955, in 388.0 seconds [10000  20000] range 20797 flat,  237 upvotes on trial [5:JKABC=301]
185 rng FAILED: cinn [4696.6 240.0 232.5] k=-0.997, in 199.5 seconds [10000  20000] range 12041 flat,  24 tries to SPFIT
186 rng CORRECT: cinn [2148.9 478.1 425.2] k=-0.939, in 483.8 seconds [10000  20000] range 25081 flat,  260 upvotes on trial [5:JKABC=301]
188 rng CORRECT: cinn [2202.2 530.5 441.6] k=-0.899, in 504.9 seconds [10000  20000] range 25417 flat,  297 upvotes on trial [11:JKABC=211]
189 rng CORRECT: cinn [2836.2 377.3 366.4] k=-0.991, in 534.4 seconds [10000  20000] range 20352 flat,  169 upvotes on trial [5:JKABC=301]
190 rng CORRECT: cinn [4122.2 449.5 410.6] k=-0.979, in 285.5 seconds [10000  20000] range 17450 flat,  168 upvotes on trial [5:JKABC=301]
191 rng CORRECT: cinn [2628.6 563.3 486.9] k=-0.929, in 399.2 seconds [10000  20000] range 20334 flat,  228 upvotes on trial [5:JKABC=301]
192 rng CORRECT: cinn [4157.8 358.8 338.6] k=-0.989, in 261.7 seconds [10000  20000] range 15803 flat,  135 upvotes on trial [5:JKABC=301]
193 rng CORRECT: cinn [3391.2 491.5 460.7] k=-0.979, in 401.5 seconds [10000  20000] range 21867 flat,  175 upvotes on trial [5:JKABC=301]
194 rng CORRECT: cinn [3548.1 466.3 437.0] k=-0.981, in 426.5 seconds [10000  20000] range 22182 flat,  193 upvotes on trial [5:JKABC=301]
196 rng CORRECT: cinn [4499.4 439.6 403.1] k=-0.982, in 253.2 seconds [10000  20000] range 15964 flat,  177 upvotes on trial [5:JKABC=301]
197 rng CORRECT: cinn [2494.8 250.2 231.4] k=-0.983, in 316.1 seconds [10000  20000] range 11344 flat,  90 upvotes on trial [5:JKABC=301]
198 rng CORRECT: cinn [2123.0 382.4 361.5] k=-0.976, in 458.1 seconds [10000  20000] range 18311 flat,  200 upvotes on trial [13:JKABC=311]
199 rng CORRECT: cinn [4411.4 392.8 376.4] k=-0.992, in 310.8 seconds [10000  20000] range 18594 flat,  159 upvotes on trial [5:JKABC=301]
201 rng CORRECT: cinn [2727.7 282.9 278.0] k=-0.996, in 636.8 seconds [10000  20000] range 15434 flat,  106 upvotes on trial [5:JKABC=301]
202 rng CORRECT: cinn [4708.2 327.4 313.2] k=-0.994, in 415.8 seconds [10000  20000] range 22707 flat,  125 upvotes on trial [5:JKABC=301]
204 rng CORRECT: cinn [3573.5 339.5 336.3] k=-0.998, in 615.7 seconds [10000  20000] range 28208 flat,  104 upvotes on trial [5:JKABC=301]
205 rng CORRECT: cinn [3388.1 492.9 481.6] k=-0.992, in 520.0 seconds [10000  20000] range 15446 flat,  151 upvotes on trial [5:JKABC=301]
